CNPJ;Razao_social;Nome_fantasia;Tipo;Data_abertura;Situacao_cadastral;Data_da_situacao_cadastral;Capital_social;Natureza_juridica;MEI;Logradouro;Numero;Complemento;CEP;Bairro;Municipio;UF;Telefone;Email;Quadro_societario;Atividade_principal;Atividades_secundaria
12097142000106;SUCESSO ARTIGOS DOMESTICOS LTDA;DISTRIBUICAO SUCESSO;MATRIZ;11/06/2010;ATIVA;11/06/2010;4000000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV MARANHAO;1346;NONE;64003160;MATINHA;TERESINA;PI;['8633024643', '8633024644'];odscontabilidade@gmail.com;['FELIX MANOEL DE MOURA - Sócio-Administrador', 'ELISANGELA RODRIGUES DE ALMONDES MOURA - Sócio-Administrador'];['4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente'];['4646001 - Comércio atacadista de cosméticos e produtos de perfumaria', '4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente', '7319002 - Promoção de vendas']
19224467000143;CEPHEUS RESTAURANTES LTDA.;RASCAL;MATRIZ;06/11/2013;ATIVA;06/11/2013;2607000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD HELIO SMIDT;S/N;": 1T3-086; : TERM PASSAGEIROS 3; : 1 PISO CUMBICA;";07190100;AEROPORTO;GUARULHOS;SP;1135767200;vlc@vlcconsultores.com.br;['ANGEL DOMINGO TESTA - Sócio', 'ROBERTO BIELAWSKI - Sócio', 'PANDAL PARTICIPACOES LTDA - Sócio', 'RATI PARTICIPACOES LTDA. - Sócio', 'BIELSTON PARTICIPACOES LTDA - Sócio', 'RODRIGO MARTIN FERRAIOLE TESTA - Administrador'];['5611201 - Restaurantes e similares'];['5611203 - Lanchonetes, casas de chá, de sucos e similares']
00345307000124;XAXIM COMERCIO DE COMBUSTIVEIS LTDA;NONE;MATRIZ;13/12/1994;ATIVA;27/08/2005;1100000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;ROD BR 163;S/N;KM 739,2;78890000;ZONA RURAL;SORRISO;MT;NONE;NONE;['CLAUDIR BUSSOLARO - Sócio-Administrador', 'MARISETE CERUTTI BUSSOLARO - Sócio-Administrador'];['4731800 - Comércio varejista de combustíveis para veículos automotores'];['4930203 - Transporte rodoviário de produtos perigosos', '4520005 - Serviços de lavagem, lubrificação e polimento de veículos automotores', '4729602 - Comércio varejista de mercadorias em lojas de conveniência']
20864251000121;RIO HOTEL BRASIL EMPREENDIMENTOS IMOBILIARIOS LTDA.;NONE;MATRIZ;18/08/2014;ATIVA;18/08/2014;218664632.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV EMBAIXADOR ABELARDO BUENO;5.001;NONE;22775039;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;2138244747;NONE;['INTERNATIONAL HOTEL LICENSING COMPANY S.A R.L. - Sócio Pessoa Jurídica Domiciliado no Exterior', 'MARRIOT INTERNATIONAL HOLDING COMPANY B.V. - Sócio Pessoa Jurídica Domiciliado no Exterior', 'CAROLINA PIRES FERREIRA MESCOLIN - Administrador', 'CARLOS ANDRE MACHADO EVANGELHO - Administrador'];['5510801 - Hotéis'];['6810202 - Aluguel de imóveis próprios', '9313100 - Atividades de condicionamento físico', '9602502 - Atividades de estética e outros serviços de cuidados com a beleza', '6810201 - Compra e venda de imóveis próprios', '5223100 - Estacionamento de veículos', '6462000 - Holdings de instituições não-financeiras', '5611201 - Restaurantes e similares']
13244709000184;MAGMA PLASTICOS E COSMETICOS LTDA;NONE;MATRIZ;03/02/2011;ATIVA;03/02/2011;500000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R RIACHUELO;236;NONE;12216040;JARDIM PAULISTA;SAO JOSE DOS CAMPOS;SP;1239236183;fiscal@twmagma.com;['VALERIA APARECIDA FONSECA DA SILVA - Sócio-Administrador', 'BENEDITO EDISON DA SILVA - Sócio'];['4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente'];['4639701 - Comércio atacadista de produtos alimentícios em geral', '4646001 - Comércio atacadista de cosméticos e produtos de perfumaria', '4649401 - Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico', '4649408 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar', '4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente', '4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal']
21045275000111;FGF - COMERCIO DE TUBOS E CONEXOES DE ACOS EIRELI;NONE;MATRIZ;15/09/2014;ATIVA;15/09/2014;100000.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;AV MARIA CANDIDA DE OLIVEIRA (JD MAFALDA);281;NONE;09961000;CASA GRANDE;DIADEMA;SP;1143086550;contabillemos@gmail.com;['FABRICIO GANANCIO FERREIRA - Titular Pessoa Física Residente ou Domiciliado no Brasil'];['4685100 - Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção'];"['4663000 - Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças']"
17908164000114;D A S S COMERCIO DE BEBIDAS E CIA EIRELI;DJACESTAS;MATRIZ;22/12/2009;ATIVA;22/12/2009;940000.0;2305 - EMPRESA INDIVIDUAL DE RESP.LIMITADA (DE NATUREZA EMPRESARIA);Não;R DOS CRAVEIROS;SN;EM FRENTE AO BANCO    BRADESCO;45445000;CENTRO;CAMAMU;BA;7398077771;g.econtabill@gmail.com;['DJAVAN ALMEIDA SACRAMENTO SILVA - Titular Pessoa Física Residente ou Domiciliado no Brasil'];['4712100 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns'];['4711302 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados', '4721103 - Comércio varejista de laticínios e frios', '4723700 - Comércio varejista de bebidas', '4729699 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente']
01914565000147;PIRINEUS EMBUTIDOS ARTESANAIS LTDA;NONE;MATRIZ;20/06/1997;ATIVA;25/08/2001;100000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R JACOBUS BALDI;486;NONE;05847000;CIDADE FIM DE SEMANA;SAO PAULO;SP;1155101129;pirineus@pirineus.com.br;['NADIA SERRANO RIBAS - Administrador', 'RAUL SERRANO RIBAS - Administrador', 'ANGEL RIBAS VALLS - Administrador', 'BCN295 PARTICIPACOES LTDA - Sócio', 'BRABA PARTICIPACOES EIRELI - Sócio'];['1013901 - Fabricação de produtos de carne'];['4729699 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente']
21072833000138;EVIDENCIA MODA PROFISSIONAL COMERCIO DE UNIFORMES LTDA;EVIDENCIA MODA PROFISSIONAL;MATRIZ;19/09/2014;ATIVA;19/09/2014;10000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;R PAULA SOUSA;18;NONE;01027000;CENTRO;SAO PAULO;SP;['1132291120', '1133261121'];mrussi@uol.com.br;['ALEXANDRE SATO - Sócio', 'MARIA LUCIA DE OLIVEIRA - Sócio-Administrador'];['4781400 - Comércio varejista de artigos do vestuário e acessórios'];['4755503 - Comercio varejista de artigos de cama, mesa e banho']
14276283000103;AGRO COMERCIAL C. R. IMPORTACAO E EXPORTACAO LTDA.;NONE;MATRIZ;09/09/2011;ATIVA;09/09/2011;300000.0;2062 - SOCIEDADE EMPRESARIA LIMITADA;Não;AV DOUTOR GASTAO VIDIGAL 1946;1946;": PAVLH HF/E PT 246/13; : BOX 107 E 108;";05316900;VILA LEOPOLDINA;SAO PAULO;SP;['1136411446', '1136410495'];admcrie@crgrupo.com.br;['CARLOS ALBERTO ROSSI - Sócio-Administrador', 'JOSE AMADEU ROSSI - Sócio-Administrador', 'MARCOS DEGAIL ROSSI - Sócio-Administrador', 'ROGERIO CESAR ROSSI - Sócio-Administrador'];['4633801 - Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos'];NONE
